locus_tag	ftype	length_bp	gene	EC_number	COG	product
PDJKFJDK_02476	CDS	786	egtC_2	3.5.1.118	COG0121	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
PDJKFJDK_02477	CDS	390				hypothetical protein
PDJKFJDK_02478	CDS	318				hypothetical protein
PDJKFJDK_02479	CDS	1215				hypothetical protein
PDJKFJDK_02480	CDS	657				hypothetical protein
PDJKFJDK_02481	CDS	564				hypothetical protein
PDJKFJDK_02482	CDS	1521	sasA_6	2.7.-.-		Adaptive-response sensory-kinase SasA
PDJKFJDK_02483	CDS	726	ompR_1			Transcriptional regulatory protein OmpR
PDJKFJDK_02484	CDS	282	ubiK			Ubiquinone biosynthesis accessory factor UbiK
PDJKFJDK_02485	CDS	507				hypothetical protein
PDJKFJDK_02486	CDS	825	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
PDJKFJDK_02487	CDS	786				hypothetical protein
PDJKFJDK_02488	CDS	114				hypothetical protein
PDJKFJDK_02489	CDS	162				hypothetical protein
PDJKFJDK_02490	CDS	501	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
PDJKFJDK_02491	CDS	279				hypothetical protein
PDJKFJDK_02492	CDS	837	asbF	4.2.1.118		3-dehydroshikimate dehydratase
PDJKFJDK_02493	CDS	1305				hypothetical protein
PDJKFJDK_02494	CDS	2982	menE_2	6.2.1.26		2-succinylbenzoate--CoA ligase
PDJKFJDK_02495	CDS	1785				hypothetical protein
PDJKFJDK_02496	CDS	543	fecI_2		COG1595	putative RNA polymerase sigma factor FecI
PDJKFJDK_02497	CDS	975	fecR_1		COG3712	Protein FecR
PDJKFJDK_02498	CDS	2541	fatA			Ferric-anguibactin receptor FatA
PDJKFJDK_02499	CDS	990				hypothetical protein
PDJKFJDK_02500	CDS	585				hypothetical protein
PDJKFJDK_02501	CDS	981	gsiC		COG0601	Glutathione transport system permease protein GsiC
PDJKFJDK_02502	CDS	924	ddpC		COG1173	putative D,D-dipeptide transport system permease protein DdpC
PDJKFJDK_02503	CDS	1839	gsiA	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
PDJKFJDK_02504	CDS	1302		3.5.-.-	COG0624	Putative hydrolase/MSMEI_3903
PDJKFJDK_02505	CDS	981				hypothetical protein
PDJKFJDK_02506	CDS	936				hypothetical protein
PDJKFJDK_02507	CDS	807	hisN_2	3.1.3.15	COG0483	Histidinol-phosphatase
PDJKFJDK_02508	CDS	1260		1.14.13.239		Carnitine monooxygenase oxygenase subunit
PDJKFJDK_02509	CDS	1128	kshB	1.14.15.30		3-ketosteroid-9-alpha-monooxygenase, ferredoxin reductase component
PDJKFJDK_02510	CDS	2043	stcD	1.-.-.-		putative N-methylproline demethylase
PDJKFJDK_02511	CDS	1884	fadF	1.-.-.-	COG0247	putative iron-sulfur-binding oxidoreductase FadF
PDJKFJDK_02512	CDS	1224	fixB			Protein FixB
PDJKFJDK_02513	CDS	795				hypothetical protein
PDJKFJDK_02514	CDS	510	proX		COG3760	Prolyl-tRNA editing protein ProX
PDJKFJDK_02515	CDS	222				hypothetical protein
PDJKFJDK_02516	CDS	1362	sdaA	4.3.1.17	COG1760	L-serine dehydratase
PDJKFJDK_02517	CDS	591				hypothetical protein
PDJKFJDK_02518	CDS	2988	soxA_2	1.5.3.1		Sarcosine oxidase subunit alpha
PDJKFJDK_02519	CDS	333	soxD_2	1.5.3.1		Sarcosine oxidase subunit delta
PDJKFJDK_02520	CDS	1254	soxB_2	1.5.3.1		Sarcosine oxidase subunit beta
PDJKFJDK_02521	CDS	1032	cdhR_2		COG4977	HTH-type transcriptional regulator CdhR
PDJKFJDK_02522	CDS	1350				hypothetical protein
PDJKFJDK_02523	CDS	837				hypothetical protein
PDJKFJDK_02524	CDS	852	opuAB		COG4176	Glycine betaine transport system permease protein OpuAB
PDJKFJDK_02525	CDS	1278				hypothetical protein
PDJKFJDK_02526	CDS	1026				hypothetical protein
PDJKFJDK_02527	CDS	1056				hypothetical protein
PDJKFJDK_02528	CDS	936	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PDJKFJDK_02529	CDS	801	crnA_1	3.5.2.10		Creatinine amidohydrolase
PDJKFJDK_02530	CDS	1374		6.3.4.12		Glutamate--methylamine ligase
PDJKFJDK_02531	CDS	348				hypothetical protein
PDJKFJDK_02532	CDS	813				hypothetical protein
PDJKFJDK_02533	CDS	666				hypothetical protein
PDJKFJDK_02534	CDS	3531	carB_1			Carbamoyl-phosphate synthase large chain
PDJKFJDK_02535	CDS	120				hypothetical protein
PDJKFJDK_02536	CDS	1818	atzF	3.5.1.54		Allophanate hydrolase
PDJKFJDK_02537	CDS	216				hypothetical protein
PDJKFJDK_02538	CDS	222				hypothetical protein
PDJKFJDK_02539	CDS	525				hypothetical protein
PDJKFJDK_02540	CDS	216				hypothetical protein
PDJKFJDK_02541	CDS	183				hypothetical protein
PDJKFJDK_02542	CDS	2667				hypothetical protein
PDJKFJDK_02543	CDS	291				IS3 family transposase ISMch5
PDJKFJDK_02544	CDS	405				IS3 family transposase ISMch5
PDJKFJDK_02545	CDS	381				IS3 family transposase ISMlo4
PDJKFJDK_02546	CDS	636				hypothetical protein
PDJKFJDK_02547	CDS	711				hypothetical protein
PDJKFJDK_02548	CDS	1020				IS66 family transposase ISAzca2
PDJKFJDK_02549	CDS	399				hypothetical protein
PDJKFJDK_02550	CDS	327				hypothetical protein
PDJKFJDK_02551	CDS	402				hypothetical protein
PDJKFJDK_02552	CDS	534				IS3 family transposase ISMex33
PDJKFJDK_02553	CDS	327				IS3 family transposase ISAzs24
PDJKFJDK_02554	CDS	600				hypothetical protein
PDJKFJDK_02555	CDS	438				hypothetical protein
PDJKFJDK_02556	CDS	1326	mexA			Multidrug resistance protein MexA
PDJKFJDK_02557	CDS	3165	mexB		COG0841	Multidrug resistance protein MexB
PDJKFJDK_02558	CDS	306				hypothetical protein
PDJKFJDK_02559	CDS	1482	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
PDJKFJDK_02560	CDS	288	gatC	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
PDJKFJDK_02561	CDS	186				hypothetical protein
PDJKFJDK_02562	CDS	579				hypothetical protein
PDJKFJDK_02563	CDS	498	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
PDJKFJDK_02564	CDS	675	inhA_1	4.2.1.103		Isonitrile hydratase
PDJKFJDK_02565	CDS	1152				hypothetical protein
PDJKFJDK_02566	CDS	834				hypothetical protein
PDJKFJDK_02567	CDS	1194				hypothetical protein
PDJKFJDK_02568	CDS	609	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
PDJKFJDK_02569	CDS	1311	pyrC	3.5.2.3	COG0044	Dihydroorotase
PDJKFJDK_02570	CDS	234				hypothetical protein
PDJKFJDK_02571	CDS	384				hypothetical protein
PDJKFJDK_02572	CDS	948	pyrB	2.1.3.2		Aspartate carbamoyltransferase
PDJKFJDK_02573	CDS	312				hypothetical protein
PDJKFJDK_02574	CDS	873	yedZ1		COG4117	Putative protein-methionine-sulfoxide reductase subunit YedZ1
PDJKFJDK_02575	CDS	960	yedY1_2		COG2041	Putative protein-methionine-sulfoxide reductase subunit YedZ1
PDJKFJDK_02576	CDS	2733	topA	5.6.2.1	COG0550	DNA topoisomerase 1
PDJKFJDK_02577	CDS	738	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
PDJKFJDK_02578	CDS	1176	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
PDJKFJDK_02579	CDS	408				hypothetical protein
PDJKFJDK_02580	CDS	846				hypothetical protein
PDJKFJDK_02581	CDS	1494	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
PDJKFJDK_02582	CDS	930				hypothetical protein
PDJKFJDK_02583	CDS	960				hypothetical protein
PDJKFJDK_02584	CDS	1752				hypothetical protein
PDJKFJDK_02585	CDS	957				hypothetical protein
PDJKFJDK_02586	CDS	597	sodB	1.15.1.1	COG0605	Superoxide dismutase [Mn]
PDJKFJDK_02587	CDS	864				hypothetical protein
PDJKFJDK_02588	CDS	435				hypothetical protein
PDJKFJDK_02589	CDS	1530	murJ_2		COG0728	Lipid II flippase MurJ
PDJKFJDK_02590	CDS	675	hdl IVa	3.8.1.2		(S)-2-haloacid dehalogenase 4A
PDJKFJDK_02591	CDS	339				hypothetical protein
PDJKFJDK_02592	CDS	1770				hypothetical protein
PDJKFJDK_02593	CDS	687	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
PDJKFJDK_02594	CDS	255				hypothetical protein
PDJKFJDK_02595	CDS	684				hypothetical protein
PDJKFJDK_02596	CDS	312				hypothetical protein
PDJKFJDK_02597	CDS	1392	argH	4.3.2.1	COG0165	Argininosuccinate lyase
PDJKFJDK_02598	CDS	642	tlpA		COG0526	Thiol:disulfide interchange protein TlpA
PDJKFJDK_02599	CDS	1242	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
PDJKFJDK_02600	CDS	348				hypothetical protein
PDJKFJDK_02601	CDS	396				hypothetical protein
PDJKFJDK_02602	CDS	930	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
PDJKFJDK_02603	CDS	504				hypothetical protein
PDJKFJDK_02604	CDS	660	msrA_2	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
PDJKFJDK_02605	CDS	1065				Blue-light-activated protein
PDJKFJDK_02606	CDS	483				hypothetical protein
PDJKFJDK_02607	CDS	846	nit1	3.5.1.128		Deaminated glutathione amidase
PDJKFJDK_02608	CDS	258	grxC		COG0695	Glutaredoxin 3
PDJKFJDK_02609	CDS	357	cpdR_2			Response regulator receiver protein CpdR
PDJKFJDK_02610	CDS	897				hypothetical protein
PDJKFJDK_02611	CDS	867	gtaB	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
PDJKFJDK_02612	CDS	768		1.10.3.-	COG1496	Polyphenol oxidase
PDJKFJDK_02613	CDS	1104				hypothetical protein
PDJKFJDK_02614	CDS	891	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
PDJKFJDK_02615	CDS	681				hypothetical protein
PDJKFJDK_02616	CDS	1632	pgm	5.4.2.2	COG0033	Phosphoglucomutase
PDJKFJDK_02617	CDS	1272				hypothetical protein
PDJKFJDK_02618	CDS	906				hypothetical protein
PDJKFJDK_02619	CDS	258				hypothetical protein
PDJKFJDK_02620	CDS	2667	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
PDJKFJDK_02621	CDS	153				hypothetical protein
PDJKFJDK_02622	CDS	651				hypothetical protein
PDJKFJDK_02623	CDS	681				hypothetical protein
PDJKFJDK_02624	CDS	444			COG0346	Virulence protein
PDJKFJDK_02625	CDS	261				hypothetical protein
PDJKFJDK_02626	CDS	450	crp_2		COG0664	CRP-like cAMP-activated global transcriptional regulator
PDJKFJDK_02627	CDS	147				hypothetical protein
PDJKFJDK_02628	CDS	474			COG1846	putative HTH-type transcriptional regulator/GBAA_1941/BAS1801
PDJKFJDK_02629	CDS	780				hypothetical protein
PDJKFJDK_02630	CDS	933	gloB_2	3.1.2.6		Hydroxyacylglutathione hydrolase
PDJKFJDK_02631	CDS	630				hypothetical protein
PDJKFJDK_02632	CDS	306				hypothetical protein
PDJKFJDK_02633	CDS	177				hypothetical protein
PDJKFJDK_02634	CDS	222				hypothetical protein
PDJKFJDK_02635	CDS	804	phyR			Phyllosphere-induced regulator PhyR
PDJKFJDK_02636	CDS	363				hypothetical protein
PDJKFJDK_02637	CDS	540				hypothetical protein
PDJKFJDK_02638	CDS	1392	spuC	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
PDJKFJDK_02639	CDS	216				hypothetical protein
PDJKFJDK_02640	CDS	915				hypothetical protein
PDJKFJDK_02641	CDS	219				hypothetical protein
PDJKFJDK_02642	CDS	438				hypothetical protein
PDJKFJDK_02643	CDS	927	alkA		COG0122	putative bifunctional transcriptional activator/DNA repair enzyme AlkA
PDJKFJDK_02644	CDS	288				hypothetical protein
PDJKFJDK_02645	CDS	1155	rnd_2	3.1.13.5	COG0349	Ribonuclease D
PDJKFJDK_02646	CDS	435				hypothetical protein
PDJKFJDK_02647	CDS	1257	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
PDJKFJDK_02648	CDS	1902				hypothetical protein
PDJKFJDK_02649	CDS	738	scoA	2.8.3.5	COG1788	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A
PDJKFJDK_02650	CDS	660	scoB	2.8.3.5	COG2057	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
PDJKFJDK_02651	CDS	408				hypothetical protein
PDJKFJDK_02652	CDS	369				hypothetical protein
PDJKFJDK_02653	CDS	1383				hypothetical protein
PDJKFJDK_02654	CDS	2331	btuB_1			Vitamin B12 transporter BtuB
PDJKFJDK_02655	CDS	957				hypothetical protein
PDJKFJDK_02656	CDS	816	hmuV	3.6.3.-	COG4559	Hemin import ATP-binding protein HmuV
PDJKFJDK_02657	CDS	1041	fecD		COG0609	Fe(3+) dicitrate transport system permease protein FecD
PDJKFJDK_02658	CDS	834				hypothetical protein
PDJKFJDK_02659	CDS	1017		2.7.13.3		Blue-light-activated histidine kinase
PDJKFJDK_02660	CDS	1098				hypothetical protein
PDJKFJDK_02661	CDS	375				hypothetical protein
PDJKFJDK_02662	CDS	732				hypothetical protein
PDJKFJDK_02663	CDS	2637				hypothetical protein
PDJKFJDK_02664	CDS	933	pgrR_2			HTH-type transcriptional regulator PgrR
PDJKFJDK_02665	CDS	918		3.3.2.10		Soluble epoxide hydrolase
PDJKFJDK_02666	CDS	1566	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
PDJKFJDK_02667	CDS	228				hypothetical protein
PDJKFJDK_02668	CDS	612				hypothetical protein
PDJKFJDK_02669	CDS	1029				hypothetical protein
PDJKFJDK_02670	CDS	1380	rsmB_2	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
PDJKFJDK_02671	CDS	189				hypothetical protein
PDJKFJDK_02672	CDS	939	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
PDJKFJDK_02673	CDS	882				hypothetical protein
PDJKFJDK_02674	CDS	846				hypothetical protein
PDJKFJDK_02675	CDS	120				hypothetical protein
PDJKFJDK_02676	CDS	1491	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
PDJKFJDK_02677	CDS	1167	ftsW	2.4.1.129		putative peptidoglycan glycosyltransferase FtsW
PDJKFJDK_02678	CDS	1110	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
PDJKFJDK_02679	CDS	1407	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
PDJKFJDK_02680	CDS	372				hypothetical protein
PDJKFJDK_02681	CDS	258				hypothetical protein
PDJKFJDK_02682	CDS	930	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
PDJKFJDK_02683	CDS	198				hypothetical protein
PDJKFJDK_02684	CDS	924	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
PDJKFJDK_02685	CDS	939	ftsQ			Cell division protein FtsQ
PDJKFJDK_02686	CDS	1323	ftsA		COG0849	Cell division protein FtsA
PDJKFJDK_02687	CDS	1758	ftsZ			Cell division protein FtsZ
PDJKFJDK_02688	CDS	948	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
PDJKFJDK_02689	CDS	876	bamD		COG4105	Outer membrane protein assembly factor BamD
PDJKFJDK_02690	CDS	987				hypothetical protein
PDJKFJDK_02691	CDS	1701	recN		COG0497	DNA repair protein RecN
PDJKFJDK_02692	CDS	366				hypothetical protein
PDJKFJDK_02693	CDS	267				hypothetical protein
PDJKFJDK_02694	CDS	2316	ydeP_1		COG0243	Protein YdeP
PDJKFJDK_02695	CDS	1074				hypothetical protein
PDJKFJDK_02696	CDS	1920	dnaK_1			Chaperone protein DnaK
PDJKFJDK_02697	CDS	390				hypothetical protein
PDJKFJDK_02698	CDS	1158	dnaJ_2		COG0484	Chaperone protein DnaJ
PDJKFJDK_02699	CDS	657				hypothetical protein
PDJKFJDK_02700	CDS	327				hypothetical protein
PDJKFJDK_02701	CDS	1311	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
PDJKFJDK_02702	CDS	762	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
PDJKFJDK_02703	CDS	813	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
PDJKFJDK_02704	CDS	414	cdd	3.5.4.5	COG0295	Cytidine deaminase
PDJKFJDK_02705	CDS	225				hypothetical protein
PDJKFJDK_02706	CDS	426				hypothetical protein
PDJKFJDK_02707	CDS	987	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
PDJKFJDK_02708	CDS	1305	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
PDJKFJDK_02709	CDS	750				hypothetical protein
PDJKFJDK_02710	CDS	996	cpdA_3	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
PDJKFJDK_02711	CDS	477	rssB			Regulator of RpoS
PDJKFJDK_02712	CDS	822				hypothetical protein
PDJKFJDK_02713	CDS	243				hypothetical protein
PDJKFJDK_02714	CDS	1338	pepA_1	3.4.11.10		cytosol aminopeptidase
PDJKFJDK_02715	CDS	948				hypothetical protein
PDJKFJDK_02716	CDS	306	rpmB		COG0227	50S ribosomal protein L28
PDJKFJDK_02717	CDS	930				hypothetical protein
PDJKFJDK_02718	CDS	1704	lysS	6.1.1.6	COG1384	Lysine--tRNA ligase
PDJKFJDK_02719	CDS	495				hypothetical protein
PDJKFJDK_02720	CDS	966	prfB_1		COG1186	Peptide chain release factor RF2
PDJKFJDK_02721	CDS	1176				hypothetical protein
PDJKFJDK_02722	CDS	468	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
PDJKFJDK_02723	CDS	3432				hypothetical protein
PDJKFJDK_02724	CDS	1077	des	1.14.19.-	COG3239	Fatty acid desaturase
PDJKFJDK_02725	CDS	1272	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
PDJKFJDK_02726	CDS	1227	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
PDJKFJDK_02727	CDS	594				hypothetical protein
PDJKFJDK_02728	CDS	1122	aroC	4.2.3.5	COG0082	Chorismate synthase
PDJKFJDK_02729	CDS	702				hypothetical protein
PDJKFJDK_02730	CDS	1077	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
PDJKFJDK_02731	CDS	234				hypothetical protein
PDJKFJDK_02732	CDS	852		3.5.1.-	COG0123	Histone deacetylase-like amidohydrolase
PDJKFJDK_02733	CDS	483	erfK_1	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
PDJKFJDK_02734	CDS	459				hypothetical protein
PDJKFJDK_02735	CDS	2004	accA1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
PDJKFJDK_02736	CDS	432				hypothetical protein
PDJKFJDK_02737	CDS	285	acyP	3.6.1.7	COG1254	Acylphosphatase
PDJKFJDK_02738	CDS	714				hypothetical protein
PDJKFJDK_02739	CDS	264				hypothetical protein
PDJKFJDK_02740	CDS	837				hypothetical protein
PDJKFJDK_02741	CDS	624	gstB_2	2.5.1.18	COG0625	Glutathione S-transferase GstB
PDJKFJDK_02742	CDS	1062	kamA	5.4.3.2		L-lysine 2,3-aminomutase
PDJKFJDK_02743	CDS	1059	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
PDJKFJDK_02744	CDS	567	efp		COG0231	Elongation factor P
PDJKFJDK_02745	CDS	987				hypothetical protein
PDJKFJDK_02746	CDS	546				hypothetical protein
PDJKFJDK_02747	CDS	510				hypothetical protein
PDJKFJDK_02748	CDS	1752	bchD	6.6.1.1	COG1240	Magnesium-chelatase 60 kDa subunit
PDJKFJDK_02749	CDS	918		3.1.1.10		Tropinesterase
PDJKFJDK_02750	CDS	1527	crtI	1.3.99.28	COG1233	Phytoene desaturase (neurosporene-forming)
PDJKFJDK_02751	CDS	1062				hypothetical protein
PDJKFJDK_02752	CDS	615	ureG_1			Urease accessory protein UreG
PDJKFJDK_02753	CDS	723	ureF_1		COG0830	Urease accessory protein UreF
PDJKFJDK_02754	CDS	492	ureE1			Urease accessory protein UreE 1
PDJKFJDK_02755	CDS	1713	ureC1	3.5.1.5		Urease subunit alpha 1
PDJKFJDK_02756	CDS	954				hypothetical protein
PDJKFJDK_02757	CDS	1134				hypothetical protein
PDJKFJDK_02758	CDS	621	ureA_1	3.5.1.5	COG0831	Urease subunit alpha
PDJKFJDK_02759	CDS	927	ureD_1			Urease accessory protein UreD
PDJKFJDK_02760	CDS	519	rutF_2	1.5.1.42	COG1853	FMN reductase (NADH) RutF
PDJKFJDK_02761	CDS	249				hypothetical protein
PDJKFJDK_02762	CDS	318	pucM_2	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
PDJKFJDK_02763	CDS	2385				hypothetical protein
PDJKFJDK_02764	CDS	561				hypothetical protein
PDJKFJDK_02765	CDS	1152				hypothetical protein
PDJKFJDK_02766	CDS	1044				hypothetical protein
PDJKFJDK_02767	CDS	849	pal_3			Peptidoglycan-associated lipoprotein
PDJKFJDK_02768	CDS	999				hypothetical protein
PDJKFJDK_02769	CDS	996				hypothetical protein
PDJKFJDK_02770	CDS	768				hypothetical protein
PDJKFJDK_02771	CDS	447				hypothetical protein
PDJKFJDK_02772	CDS	426				hypothetical protein
PDJKFJDK_02773	CDS	264				hypothetical protein
PDJKFJDK_02774	CDS	2316	yhgF		COG2183	Protein YhgF
PDJKFJDK_02775	CDS	321				hypothetical protein
PDJKFJDK_02776	CDS	654	kpsT			Polysialic acid transport ATP-binding protein KpsT
PDJKFJDK_02777	CDS	1245				hypothetical protein
PDJKFJDK_02778	CDS	717				hypothetical protein
PDJKFJDK_02779	CDS	306				hypothetical protein
PDJKFJDK_02780	CDS	2142	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
PDJKFJDK_02781	CDS	1677			COG0840	Methyl-accepting chemotaxis protein
PDJKFJDK_02782	CDS	210				hypothetical protein
PDJKFJDK_02783	CDS	1053				hypothetical protein
PDJKFJDK_02784	CDS	537				hypothetical protein
PDJKFJDK_02785	CDS	405				hypothetical protein
PDJKFJDK_02786	CDS	1356	yscN	7.1.2.2		putative ATP synthase YscN
PDJKFJDK_02787	CDS	774	ctrA			Cell cycle response regulator CtrA
PDJKFJDK_02788	CDS	252				hypothetical protein
PDJKFJDK_02789	CDS	627	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PDJKFJDK_02790	CDS	2334	dme	1.1.1.39	COG0280	NAD-dependent malic enzyme
PDJKFJDK_02791	CDS	1440				hypothetical protein
PDJKFJDK_02792	CDS	885				hypothetical protein
PDJKFJDK_02793	CDS	2076				hypothetical protein
PDJKFJDK_02794	CDS	2022				hypothetical protein
PDJKFJDK_02795	CDS	699				hypothetical protein
PDJKFJDK_02796	CDS	1386	dapE_2	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
PDJKFJDK_02797	CDS	525	paoA_2	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
PDJKFJDK_02798	CDS	1017	paoB_2	1.2.99.6	COG1319	Aldehyde oxidoreductase FAD-binding subunit PaoB
PDJKFJDK_02799	CDS	2262	paoC_2	1.2.99.6	COG1529	Aldehyde oxidoreductase molybdenum-binding subunit PaoC
PDJKFJDK_02800	CDS	369	crcB_1		COG0239	Putative fluoride ion transporter CrcB
PDJKFJDK_02801	CDS	438				hypothetical protein
PDJKFJDK_02802	CDS	663	vanX	3.4.13.22		D-alanyl-D-alanine dipeptidase
PDJKFJDK_02803	CDS	276				hypothetical protein
PDJKFJDK_02804	CDS	327				hypothetical protein
PDJKFJDK_02805	CDS	660				hypothetical protein
PDJKFJDK_02806	CDS	2178				hypothetical protein
PDJKFJDK_02807	CDS	768	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
PDJKFJDK_02808	CDS	1107	rfbG	4.2.1.45	COG0451	CDP-glucose 4,6-dehydratase
PDJKFJDK_02809	CDS	1230				hypothetical protein
PDJKFJDK_02810	CDS	534	rfbC_2	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
PDJKFJDK_02811	CDS	966	rmd	1.1.1.281		GDP-6-deoxy-D-mannose reductase
PDJKFJDK_02812	CDS	399				hypothetical protein
PDJKFJDK_02813	CDS	1251	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
PDJKFJDK_02814	CDS	2847	gcvP	1.4.4.2		Glycine dehydrogenase (decarboxylating)
PDJKFJDK_02815	CDS	363	gcvH		COG0509	Glycine cleavage system H protein
PDJKFJDK_02816	CDS	1179	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
PDJKFJDK_02817	CDS	228				hypothetical protein
PDJKFJDK_02818	CDS	1152	bioF	2.3.1.47		8-amino-7-oxononanoate synthase
PDJKFJDK_02819	CDS	861	ykfC	3.4.14.13	COG0791	Gamma-D-glutamyl-L-lysine dipeptidyl-peptidase
PDJKFJDK_02820	CDS	372				hypothetical protein
PDJKFJDK_02821	CDS	687				hypothetical protein
PDJKFJDK_02822	CDS	717	mgtC		COG1285	Protein MgtC
PDJKFJDK_02823	CDS	996				hypothetical protein
PDJKFJDK_02824	CDS	930				hypothetical protein
PDJKFJDK_02825	CDS	462				hypothetical protein
PDJKFJDK_02826	CDS	1020				hypothetical protein
PDJKFJDK_02827	CDS	924				hypothetical protein
PDJKFJDK_02828	CDS	939				hypothetical protein
PDJKFJDK_02829	CDS	1326				hypothetical protein
PDJKFJDK_02830	CDS	1083				hypothetical protein
PDJKFJDK_02831	CDS	333				hypothetical protein
PDJKFJDK_02832	CDS	975				hypothetical protein
PDJKFJDK_02833	CDS	291				hypothetical protein
PDJKFJDK_02834	CDS	1056				hypothetical protein
PDJKFJDK_02835	CDS	417	msrB_2	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
PDJKFJDK_02836	CDS	1158				hypothetical protein
PDJKFJDK_02837	CDS	1467		2.7.13.3		Blue-light-activated histidine kinase
PDJKFJDK_02838	CDS	1533	lcfB_2	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
PDJKFJDK_02839	CDS	441				hypothetical protein
PDJKFJDK_02840	CDS	906				hypothetical protein
PDJKFJDK_02841	CDS	1224	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
PDJKFJDK_02842	CDS	1026	alx		COG0861	Putative membrane-bound redox modulator Alx
PDJKFJDK_02843	CDS	303				hypothetical protein
PDJKFJDK_02844	CDS	579	yfkM_1	3.2.-.-	COG0693	General stress protein 18
PDJKFJDK_02845	CDS	222				hypothetical protein
PDJKFJDK_02846	CDS	435				hypothetical protein
PDJKFJDK_02847	CDS	390				hypothetical protein
PDJKFJDK_02848	CDS	210	cspA_3		COG1278	Cold shock protein CspA
PDJKFJDK_02849	CDS	228				hypothetical protein
PDJKFJDK_02850	CDS	462				hypothetical protein
PDJKFJDK_02851	CDS	1200				hypothetical protein
PDJKFJDK_02852	CDS	1206	hcaT_1			putative 3-phenylpropionic acid transporter
PDJKFJDK_02853	CDS	1149				hypothetical protein
